zip_3,Median,Pop
629,38412.60347307693,2892.24358974359
630,59076.931910344814,12403.793103448275
631,49686.288813333325,20608.8
633,54102.593531818195,10936.181818181818
634,41296.6274625,1714.725
635,34969.6263939394,1882.2727272727273
636,37830.99909714286,3834.2571428571428
637,42204.41563243242,3434.675675675676
638,33926.512797674426,2856.860465116279
639,31091.213239285706,3030.714285714286
640,58367.48977903228,9790.983870967742
641,50575.21412745097,10649.117647058823
644,45585.70024142858,1502.3428571428572
645,43856.975666666665,14519.333333333334
646,41073.10820740741,1360.537037037037
647,40657.59952391304,2454.217391304348
648,40668.21328787878,5866.272727272727
650,47208.47400000002,2863.1481481481483
651,56516.45425,34338.5
652,43860.79095111112,5870.4
653,42580.789567741944,3333.1935483870966
654,37904.53615555555,3479.8888888888887
655,37587.33187741936,3965.7419354838707
656,37114.46264029851,3155.0746268656717
657,37245.4624888889,3999.527777777778
658,45462.629414285715,31393.14285714286
660,55211.05033913045,7002.608695652174
661,40103.57505555556,16343.777777777777
662,87245.68735000001,15424.208333333334
664,48803.127657142846,2418.4285714285716
665,52770.92249069768,2986.4186046511627
666,46995.883294444444,9078.611111111111
667,40111.98916470588,2322.705882352941
668,46181.99394571428,1730.8
669,39247.28902121212,771.7272727272727
670,50849.54298965517,3140.9655172413795
671,50268.078987804874,2782.8536585365855
672,57919.67268461539,15756.0
673,41721.93333333334,2333.074074074074
674,45886.38869107142,2457.0
675,43259.18280943396,2333.3207547169814
676,41046.14822380952,1357.6666666666667
677,42580.760325,1103.8214285714287
678,45387.01596052632,2982.2631578947367
679,51228.01946666667,5190.0
680,59317.80744074075,3160.074074074074
681,56941.131752777765,14424.75
683,50943.26006521739,1211.1739130434783
684,54169.24353454546,1283.1636363636364
685,62110.563531818174,10611.318181818182
686,46898.15223095238,1797.5
687,42418.101769863,1844.9315068493152
688,45087.95065468748,2450.34375
689,44412.90353214287,1363.982142857143
690,40174.496499999994,1040.7307692307693
691,46065.71486904762,1824.5
692,46869.80081818182,842.4545454545455
